	og	at	den	af	en	til	de	det	som	for	han	paa	med	sig	der	var	jeg	et	ikke	er	ved	havde	men	da	hans	ham	om	fra	har	mig	saa	man	denne	have	efter	hun	blev	deres	nu	sin	dem	over	eller	dette	hendes	under	alle	vi	ogsaa	være	ville	min	dog	hende	endnu	vare	vil	ere	hvor	skulle	selv	skal	hvad	meget	uden	mod	kunne	kan	os	end	rbd	naar	kunde	alt	disse	blive	tid	hele	anden	kun	igjen	hr	nogle	samme	aar	sagde	maatte	sine	allerede	tilbage	sit	mand	flere	derpaa	ind	hvis	første	kom	saaledes	hos	feuilleton_id	label	article_id
339	0.02997275204359673	0.043596730245231606	0.02997275204359673	0.027247956403269755	0.010899182561307902	0.010899182561307902	0.008174386920980926	0.008174386920980926	0.010899182561307902	0.021798365122615803	0.010899182561307902	0.010899182561307902	0.013623978201634877	0.008174386920980926	0.005449591280653951	0.005449591280653951	0.0	0.008174386920980926	0.0027247956403269754	0.0	0.008174386920980926	0.008174386920980926	0.008174386920980926	0.0	0.01634877384196185	0.0027247956403269754	0.0027247956403269754	0.010899182561307902	0.0	0.0	0.0027247956403269754	0.0	0.008174386920980926	0.0	0.0027247956403269754	0.0	0.0027247956403269754	0.0	0.0	0.0027247956403269754	0.005449591280653951	0.0	0.0	0.005449591280653951	0.0	0.0	0.008174386920980926	0.0	0.0027247956403269754	0.005449591280653951	0.0	0.0027247956403269754	0.0027247956403269754	0.0	0.0	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008174386920980926	0.0027247956403269754	0.005449591280653951	0.0	0.0	0.0	0.0027247956403269754	0.0	0.005449591280653951	0.0	0.0027247956403269754	0.0	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0027247956403269754	0.0	0.0	0.0027247956403269754	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	thi_lord-ambersts_a	fiction	thi_000942
340	0.04313099041533546	0.025559105431309903	0.03194888178913738	0.02875399361022364	0.01437699680511182	0.022364217252396165	0.020766773162939296	0.006389776357827476	0.01757188498402556	0.009584664536741214	0.001597444089456869	0.019169329073482427	0.009584664536741214	0.006389776357827476	0.006389776357827476	0.006389776357827476	0.0	0.006389776357827476	0.003194888178913738	0.0	0.007987220447284345	0.007987220447284345	0.004792332268370607	0.003194888178913738	0.006389776357827476	0.0	0.001597444089456869	0.007987220447284345	0.001597444089456869	0.0	0.001597444089456869	0.012779552715654952	0.004792332268370607	0.003194888178913738	0.001597444089456869	0.0	0.004792332268370607	0.009584664536741214	0.003194888178913738	0.0	0.004792332268370607	0.006389776357827476	0.001597444089456869	0.001597444089456869	0.0	0.001597444089456869	0.0	0.001597444089456869	0.001597444089456869	0.004792332268370607	0.001597444089456869	0.0	0.0	0.0	0.0	0.001597444089456869	0.003194888178913738	0.0	0.001597444089456869	0.0	0.001597444089456869	0.0	0.0	0.003194888178913738	0.004792332268370607	0.0	0.001597444089456869	0.0	0.0	0.0	0.0	0.001597444089456869	0.001597444089456869	0.0	0.001597444089456869	0.003194888178913738	0.0	0.0	0.001597444089456869	0.0	0.001597444089456869	0.0	0.0	0.0	0.0	0.001597444089456869	0.001597444089456869	0.0	0.0	0.0	0.0	0.0	0.003194888178913738	0.003194888178913738	0.0	0.001597444089456869	0.003194888178913738	0.001597444089456869	0.0	0.0	thi_lord-ambersts_b	fiction	thi_000951
341	0.041666666666666664	0.0	0.041666666666666664	0.020833333333333332	0.020833333333333332	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.020833333333333332	0.0	0.020833333333333332	0.020833333333333332	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	thi_lord-ambersts_b	fiction	thi_000952
342	0.036734693877551024	0.02857142857142857	0.012244897959183673	0.0326530612244898	0.02040816326530612	0.00816326530612245	0.0326530612244898	0.0163265306122449	0.00816326530612245	0.012244897959183673	0.00816326530612245	0.02857142857142857	0.0163265306122449	0.00816326530612245	0.012244897959183673	0.004081632653061225	0.0	0.0163265306122449	0.0	0.0	0.0163265306122449	0.004081632653061225	0.004081632653061225	0.004081632653061225	0.00816326530612245	0.0	0.0	0.012244897959183673	0.0	0.0	0.00816326530612245	0.0	0.00816326530612245	0.004081632653061225	0.00816326530612245	0.0	0.00816326530612245	0.00816326530612245	0.0	0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.004081632653061225	0.0	0.0	0.004081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.012244897959183673	0.0	0.0	0.004081632653061225	0.0	0.0	0.0	0.0	0.004081632653061225	0.004081632653061225	0.00816326530612245	0.0	0.0	0.0	0.0	0.0	0.004081632653061225	0.0	0.0	0.0	0.0	0.00816326530612245	0.0	0.0	0.0	0.0	0.004081632653061225	0.004081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.00816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.004081632653061225	0.0	0.0	0.0	thi_lord-ambersts_b	fiction	thi_000953
343	0.07142857142857142	0.03571428571428571	0.0	0.0	0.0	0.07142857142857142	0.0	0.03571428571428571	0.0	0.0	0.0	0.03571428571428571	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	thi_lord-ambersts_b	fiction	thi_000954
344	0.0273972602739726	0.0136986301369863	0.0273972602739726	0.0	0.0	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0	0.0	0.0	0.0273972602739726	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0273972602739726	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		non-fiction	thi_000956
345	0.034482758620689655	0.06896551724137931	0.017241379310344827	0.017241379310344827	0.0	0.017241379310344827	0.017241379310344827	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.017241379310344827	0.0	0.017241379310344827	0.0	0.017241379310344827	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	thi_lucian-bonaparte	fiction	thi_000967
346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	thi_lucian-bonaparte	fiction	thi_000968
347	0.026455026455026454	0.010582010582010581	0.010582010582010581	0.037037037037037035	0.015873015873015872	0.015873015873015872	0.015873015873015872	0.010582010582010581	0.010582010582010581	0.005291005291005291	0.021164021164021163	0.0	0.010582010582010581	0.005291005291005291	0.0	0.026455026455026454	0.0	0.015873015873015872	0.005291005291005291	0.0	0.0	0.015873015873015872	0.010582010582010581	0.010582010582010581	0.005291005291005291	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.0	0.015873015873015872	0.005291005291005291	0.0	0.015873015873015872	0.005291005291005291	0.0	0.0	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015873015873015872	0.005291005291005291	0.005291005291005291	0.0	0.0	0.005291005291005291	0.0	0.0	0.0	0.005291005291005291	0.005291005291005291	0.005291005291005291	0.015873015873015872	0.005291005291005291	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005291005291005291	0.005291005291005291	0.005291005291005291	0.0	0.0	0.0	0.005291005291005291	0.005291005291005291	0.0	0.0	0.0	0.0	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.0	0.005291005291005291	0.0	0.0	0.0	thi_lucian-bonaparte	fiction	thi_000969_a
348	0.03790983606557377	0.03381147540983607	0.02663934426229508	0.005122950819672131	0.01331967213114754	0.007172131147540984	0.01331967213114754	0.02151639344262295	0.00819672131147541	0.01331967213114754	0.005122950819672131	0.0010245901639344263	0.006147540983606557	0.011270491803278689	0.005122950819672131	0.01639344262295082	0.025614754098360656	0.005122950819672131	0.01639344262295082	0.005122950819672131	0.0030737704918032786	0.00819672131147541	0.010245901639344262	0.004098360655737705	0.0030737704918032786	0.0010245901639344263	0.00819672131147541	0.0020491803278688526	0.0030737704918032786	0.02663934426229508	0.005122950819672131	0.004098360655737705	0.004098360655737705	0.0020491803278688526	0.007172131147540984	0.02151639344262295	0.004098360655737705	0.0	0.0020491803278688526	0.0020491803278688526	0.0030737704918032786	0.0	0.0010245901639344263	0.0010245901639344263	0.004098360655737705	0.0	0.0010245901639344263	0.0030737704918032786	0.0010245901639344263	0.0030737704918032786	0.0	0.005122950819672131	0.004098360655737705	0.00819672131147541	0.0030737704918032786	0.004098360655737705	0.004098360655737705	0.0	0.0010245901639344263	0.0	0.0010245901639344263	0.0010245901639344263	0.0020491803278688526	0.006147540983606557	0.0020491803278688526	0.0010245901639344263	0.0010245901639344263	0.0	0.0010245901639344263	0.004098360655737705	0.0	0.005122950819672131	0.004098360655737705	0.0010245901639344263	0.0	0.0020491803278688526	0.0010245901639344263	0.0030737704918032786	0.0020491803278688526	0.0020491803278688526	0.0030737704918032786	0.0	0.0010245901639344263	0.0010245901639344263	0.0010245901639344263	0.007172131147540984	0.0	0.0	0.0030737704918032786	0.0010245901639344263	0.0010245901639344263	0.0	0.0	0.0010245901639344263	0.0010245901639344263	0.0	0.0	0.0010245901639344263	0.0	0.0020491803278688526	thi_goethes-danselærer_a	fiction	thi_000969_b
