nominal_verb_ratio	msttr	noun_ttr	verb_ttr	personal_pronoun_ratio	function_word_ratio	of_ratio	that_ratio	past_tense_ratio	present_tense_ratio	passive_ratio	active_ratio	adjective_adverb_ratio	avg_wordlen	avg_sentlen	num_sents	avg_ndd	std_ndd	avg_mdd	std_mdd	compression_ratio	sentiment	sentiment_mean	sentiment_std	sentiment_abs	feuilleton_id	article_id	label
2.0	0.9777777777777777	1.0	1.0	0.09259259259259259	0.16666666666666666	0.018518518518518517	0.0	0.42857142857142855	0.14285714285714285	1.0	0.0	0.15555555555555556	5.666666666666667	18.0	3	1.3099093878794092	0.20119170984567938	1.7738095238095237	0.5473601872653642	1.284	[0.0, -0.9995062351226807, 0.9947168231010437]	-0.0015964706738789876	0.8141389369662303	0.6647410194079081	thi_napoleon-skildring	thi_000004	fiction
3.0	0.8947368421052632	1.0	1.0	0.08695652173913043	0.13043478260869565	0.0	0.0	1.0		1.0	0.0	0.21052631578947367	4.842105263157895	23.0	1	0.35621545820324135	0.0	3.0526315789473686	0.0	1.0084745762711864	[-0.99994957447052]				thi_napoleon-skildring	thi_000005	fiction
4.6	0.8301886792452831	1.0	1.0	0.016129032258064516	0.14516129032258066	0.03225806451612903	0.0	0.4	0.4	1.0	0.0	0.20754716981132076	5.377358490566038	62.0	1	1.826509337937787	0.0	3.8867924528301887	0.0	1.3609022556390977	[0.9999819993972778]				thi_napoleon-skildring	thi_000006	fiction
3.0	0.8787878787878788	1.0	1.0	0.02564102564102564	0.20512820512820512	0.07692307692307693	0.0	0.75		1.0	0.0	0.06060606060606061	5.363636363636363	39.0	1	2.3543895843035556	0.0	2.727272727272727	0.0	1.1727748691099475	[-0.9999862909317017]				thi_napoleon-skildring	thi_000007	fiction
3.357142857142857	0.69	1.0	1.0	0.09271523178807947	0.2052980132450331	0.0	0.0	0.8571428571428571	0.07142857142857142	1.0	0.0	0.09558823529411764	5.154411764705882	25.166666666666668	6	1.364585662492332	0.4344344916442448	2.2034747659747658	1.0187898345158695	1.744047619047619	[-0.9999775886535645, 0.9099345803260803, -0.9999891519546509, -0.9999809265136719, -0.9999878406524658, 0.0]	-0.5150001545747122	0.7344500212042612	0.8183116813500723	thi_napoleon-skildring	thi_000008	fiction
2.0	0.8	1.0	1.0	0.10344827586206896	0.20689655172413793	0.0	0.0	1.0		1.0	0.0	0.08	5.0	29.0	1	1.502754543686449	0.0	2.269230769230769	0.0	1.1069182389937107	[-0.9999856948852539]				thi_napoleon-skildring	thi_000009	fiction
2.727272727272727	0.74	0.95	1.0	0.034482758620689655	0.16666666666666666	0.017241379310344827	0.0	0.7272727272727273	0.09090909090909091	0.9411764705882353	0.058823529411764705	0.1987179487179487	5.346153846153846	21.75	8	1.39745972477086	0.566288097670173	2.4736168429526373	0.9035602220241357	1.842756183745583	[0.9999802112579346, 0.0, -0.9999860525131226, -0.9999598264694214, 0.9999831914901733, 0.9838147759437561, 0.9999606609344482, 0.0]	0.24797412008047104	0.8273226463182396	0.747960589826107	thi_napoleon-skildring	thi_000010	fiction
3.032258064516129	0.764	0.8936170212765957	0.9354838709677419	0.06818181818181818	0.21853146853146854	0.013986013986013986	0.0017482517482517483	0.6451612903225806	0.16129032258064516	0.8653846153846154	0.1346153846153846	0.13346613545816732	5.398406374501992	30.105263157894736	19	1.5631623299262667	0.4742433833614159	2.7327637641172657	0.694788872101793	2.1464646464646466	[-0.9984993934631348, 0.9999663829803467, 0.999713122844696, 0.0, -0.9999841451644897, -0.9878267645835876, -0.9999804496765137, 0.9999752044677734, -0.999983549118042, -0.9999891519546509, 0.0, 0.9999735355377197, 0.9999717473983765, -0.9999760389328003, -0.9526481628417969, -0.9999676942825317, 0.9801467061042786, -0.9999864101409912, -0.7183666825294495]	-0.24618219701867355	0.8945597764354787	0.8756292180011147	thi_napoleon-skildring	thi_000011	fiction
2.3333333333333335	0.8636363636363636	1.0	1.0	0.0	0.30434782608695654	0.08695652173913043	0.0	0.6666666666666666		1.0	0.0	0.13636363636363635	4.409090909090909	23.0	1	1.660721841489405	0.0	2.8181818181818183	0.0	0.983739837398374	[-0.9999890327453613]				thi_napoleon-skildring	thi_000012	fiction
3.3076923076923075	0.8	0.9655172413793104	0.9230769230769231	0.06293706293706294	0.25874125874125875	0.006993006993006993	0.03496503496503497	0.38461538461538464	0.15384615384615385	0.8	0.2	0.16	4.864	28.6	5	1.6387970612265956	0.9210674217546745	2.6534798534798534	0.4837963448040058	1.6623931623931625	[-0.9999892711639404, -0.9431126713752747, 0.9999806880950928, -0.9999885559082031, -0.7049018740653992]	-0.529602336883545	0.7725117497825463	0.929594612121582	thi_napoleon-skildring	thi_000013_a	fiction
